Kinase,Z,method,AvgZ
CSK,1.93,640091210>0.15,1.5325
JAK,-1.65,640091210>0.15,-0.6208333333333333
AXL,-1.55,640091210>0.15,-0.7458333333333333
FAK,-1.4,640091210>0.15,-1.2975
INSR,1.26,640091210>0.15,0.5691666666666666
RYK,-1.24,640091210>0.15,-0.8466666666666667
SEV,1.19,640091210>0.15,0.5958333333333333
ALK,0.94,640091210>0.15,0.44166666666666665
ACK,-0.87,640091210>0.15,-0.5966666666666667
ABL,-0.86,640091210>0.15,-0.6658333333333333
EPH,-0.74,640091210>0.15,-0.38166666666666665
SYK,-0.7,640091210>0.15,-0.16000000000000003
TEC,0.61,640091210>0.15,-0.29
FER,-0.6,640091210>0.15,0.1116666666666667
EGFR,0.47,640091210>0.15,0.8958333333333334
FRK,-0.36,640091210>0.15,0.09166666666666665
SRC,0.3,640091210>0.15,-0.5491666666666667
VEGFR,0.25,640091210>0.15,0.9108333333333333
TRK,-0.24,640091210>0.15,-0.8775000000000001
PDGFR,-0.23,640091210>0.15,-0.11833333333333335
MET,0.15,640091210>0.15,0.06583333333333331
RET,-0.07,640091210>0.15,-0.08833333333333335
DDR,-0.04,640091210>0.15,-0.30833333333333335
FGFR,0,640091210>0.15,0.12583333333333335
CSK,2.37,640091210>0.2,1.5325
FAK,-1.62,640091210>0.2,-1.2975
JAK,-1.55,640091210>0.2,-0.6208333333333333
AXL,-1.33,640091210>0.2,-0.7458333333333333
SEV,1.26,640091210>0.2,0.5958333333333333
ABL,-1.18,640091210>0.2,-0.6658333333333333
FRK,-1.14,640091210>0.2,0.09166666666666665
RYK,-1.1,640091210>0.2,-0.8466666666666667
ACK,-0.81,640091210>0.2,-0.5966666666666667
SYK,-0.74,640091210>0.2,-0.16000000000000003
ALK,0.74,640091210>0.2,0.44166666666666665
INSR,0.71,640091210>0.2,0.5691666666666666
TEC,0.69,640091210>0.2,-0.29
VEGFR,0.47,640091210>0.2,0.9108333333333333
EPH,-0.43,640091210>0.2,-0.38166666666666665
MET,-0.41,640091210>0.2,0.06583333333333331
TRK,-0.36,640091210>0.2,-0.8775000000000001
FER,-0.32,640091210>0.2,0.1116666666666667
SRC,-0.29,640091210>0.2,-0.5491666666666667
RET,0.23,640091210>0.2,-0.08833333333333335
FGFR,-0.22,640091210>0.2,0.12583333333333335
DDR,-0.16,640091210>0.2,-0.30833333333333335
EGFR,0.15,640091210>0.2,0.8958333333333334
PDGFR,0.12,640091210>0.2,-0.11833333333333335
JAK,-2.25,640091210>0.3,-0.6208333333333333
CSK,1.87,640091210>0.3,1.5325
DDR,-1.73,640091210>0.3,-0.30833333333333335
TRK,-1.52,640091210>0.3,-0.8775000000000001
FAK,-1.5,640091210>0.3,-1.2975
SRC,-1.27,640091210>0.3,-0.5491666666666667
ALK,1.27,640091210>0.3,0.44166666666666665
ABL,-1.09,640091210>0.3,-0.6658333333333333
RYK,-0.92,640091210>0.3,-0.8466666666666667
VEGFR,0.81,640091210>0.3,0.9108333333333333
FGFR,-0.74,640091210>0.3,0.12583333333333335
PDGFR,-0.68,640091210>0.3,-0.11833333333333335
SEV,-0.68,640091210>0.3,0.5958333333333333
ACK,-0.66,640091210>0.3,-0.5966666666666667
FRK,-0.54,640091210>0.3,0.09166666666666665
FER,-0.5,640091210>0.3,0.1116666666666667
MET,-0.44,640091210>0.3,0.06583333333333331
AXL,-0.42,640091210>0.3,-0.7458333333333333
RET,-0.35,640091210>0.3,-0.08833333333333335
TEC,-0.27,640091210>0.3,-0.29
SYK,-0.2,640091210>0.3,-0.16000000000000003
INSR,-0.18,640091210>0.3,0.5691666666666666
EPH,0.04,640091210>0.3,-0.38166666666666665
EGFR,-0.01,640091210>0.3,0.8958333333333334
JAK,-2.21,640091210>0.4,-0.6208333333333333
CSK,1.98,640091210>0.4,1.5325
TRK,-1.87,640091210>0.4,-0.8775000000000001
VEGFR,1.68,640091210>0.4,0.9108333333333333
DDR,-1.58,640091210>0.4,-0.30833333333333335
MET,-1.47,640091210>0.4,0.06583333333333331
FAK,-1.45,640091210>0.4,-1.2975
SRC,-1.37,640091210>0.4,-0.5491666666666667
ABL,-0.82,640091210>0.4,-0.6658333333333333
PDGFR,-0.79,640091210>0.4,-0.11833333333333335
RYK,-0.72,640091210>0.4,-0.8466666666666667
AXL,0.67,640091210>0.4,-0.7458333333333333
ALK,0.65,640091210>0.4,0.44166666666666665
EGFR,0.58,640091210>0.4,0.8958333333333334
