Kinase,Z,method,AvgZ
PLK,-2.96,710230318>0.15,-1.51375
IKK,-2.36,710230318>0.15,-1.465
MLCK,2.32,710230318>0.15,1.46125
NMO,-2.3,710230318>0.15,-1.71375
PKA,-2.28,710230318>0.15,-1.67875
PKN,2.06,710230318>0.15,1.1625000000000003
PKG,-1.97,710230318>0.15,-1.03875
PKCD,-1.95,710230318>0.15,-1.36875
PKD,-1.84,710230318>0.15,-1.625
CHK1,1.78,710230318>0.15,1.10125
AUR,-1.66,710230318>0.15,-1.2037499999999999
MAPKAPK,1.65,710230318>0.15,0.7224999999999999
RIPK,-1.64,710230318>0.15,-1.255
PKCH,1.6,710230318>0.15,1.0375
ERK,1.55,710230318>0.15,1.2025000000000001
STKR,1.47,710230318>0.15,1.03625
TAO,1.46,710230318>0.15,0.32625
WNK,1.44,710230318>0.15,1.68625
PKCA,-1.43,710230318>0.15,-1.67625
BRSK,1.42,710230318>0.15,0.77875
BUD32,1.41,710230318>0.15,2.1825
PDK1,1.41,710230318>0.15,0.88
GSK,-1.41,710230318>0.15,-1.02375
FRAY,1.33,710230318>0.15,0.9762500000000001
PIM,1.22,710230318>0.15,-0.11499999999999994
STE7,-1.22,710230318>0.15,-0.21375000000000002
PDHK,1.2,710230318>0.15,0.84375
DMPK,-1.13,710230318>0.15,-1.3725
PAKA,-1.09,710230318>0.15,-1.02125
TLK,-1.04,710230318>0.15,-0.725
RAD53,1.01,710230318>0.15,0.21874999999999994
DYRK,1.01,710230318>0.15,1.5
HAL,-0.97,710230318>0.15,-0.30749999999999994
PKCI,0.96,710230318>0.15,1.0562500000000001
LKB,0.95,710230318>0.15,0.9925
MST,0.94,710230318>0.15,1.6324999999999998
RSK,-0.9,710230318>0.15,-1.19
CK1,-0.88,710230318>0.15,-0.08750000000000006
CAMK1,-0.86,710230318>0.15,-0.67375
AMPK,-0.81,710230318>0.15,-0.5575
PHK,-0.75,710230318>0.15,-0.95375
MSN,0.75,710230318>0.15,-0.32875000000000004
SLK,-0.71,710230318>0.15,-0.505
MOS,-0.7,710230318>0.15,-0.23125
CAMKK,-0.69,710230318>0.15,-0.49875
ULK,-0.69,710230318>0.15,-0.51125
PASK,-0.68,710230318>0.15,-0.495
NIK,-0.68,710230318>0.15,-0.50625
KHS,-0.68,710230318>0.15,0.40125
CLK,-0.66,710230318>0.15,-0.49375
JNK,0.64,710230318>0.15,0.88
TTK,0.58,710230318>0.15,1.15875
QIK,-0.57,710230318>0.15,-0.04499999999999993
PAKB,0.57,710230318>0.15,0.6325000000000001
NDR,-0.56,710230318>0.15,-0.775
P38,0.53,710230318>0.15,0.66375
MELK,0.52,710230318>0.15,0.31625000000000003
NUAK,0.52,710230318>0.15,1.13625
NAK,0.52,710230318>0.15,0.41250000000000003
CK2,0.39,710230318>0.15,0.3725
CDK,-0.39,710230318>0.15,0.3625
COT,0.38,710230318>0.15,0.12375
PEK,0.37,710230318>0.15,0.5599999999999999
VRK1,0.36,710230318>0.15,0.795
SGK,0.34,710230318>0.15,0.34624999999999995
ATM,-0.3,710230318>0.15,0.3325
CAMK2,0.26,710230318>0.15,0.32125000000000004
DAPK,-0.25,710230318>0.15,-0.34875
IRAK,-0.24,710230318>0.15,-0.21375
RAF,0.18,710230318>0.15,-0.1325
MLK,0.16,710230318>0.15,-0.03999999999999998
NEK,0.14,710230318>0.15,-0.08125
STE11,-0.12,710230318>0.15,-0.023749999999999993
ATR,-0.12,710230318>0.15,0.3
GRK,0.11,710230318>0.15,-0.09874999999999999
MARK,0.1,710230318>0.15,0.1375
PRKDC,0.1,710230318>0.15,0.72625
