Kinase,Z,method,AvgZ
FAK,-1.71,640091210>0.15,-1.6433333333333333
JAK,-1.69,640091210>0.15,-1.1558333333333333
CSK,1.61,640091210>0.15,0.9058333333333334
SYK,-1.55,640091210>0.15,-0.72
TRK,-1.52,640091210>0.15,-1.525
MET,1.3,640091210>0.15,-0.04083333333333334
RYK,-1.29,640091210>0.15,-0.7808333333333334
AXL,-1.2,640091210>0.15,-0.1458333333333333
SEV,1.06,640091210>0.15,0.6566666666666666
ACK,-0.94,640091210>0.15,-0.5533333333333333
FER,-0.81,640091210>0.15,0.2699999999999999
EGFR,-0.73,640091210>0.15,0.20583333333333323
DDR,0.66,640091210>0.15,-0.5233333333333333
FRK,-0.56,640091210>0.15,-0.6016666666666667
FGFR,-0.48,640091210>0.15,0.3591666666666667
ABL,0.46,640091210>0.15,-0.8075
EPH,-0.42,640091210>0.15,0.04833333333333334
SRC,0.39,640091210>0.15,-0.4141666666666667
PDGFR,0.32,640091210>0.15,-0.15
RET,-0.3,640091210>0.15,-0.57
INSR,-0.27,640091210>0.15,-0.515
VEGFR,0.25,640091210>0.15,0.3983333333333333
TEC,0.23,640091210>0.15,-0.12000000000000002
ALK,-0.2,640091210>0.15,-0.3675
TRK,-1.99,640091210>0.2,-1.525
SYK,-1.59,640091210>0.2,-0.72
INSR,-1.55,640091210>0.2,-0.515
CSK,1.54,640091210>0.2,0.9058333333333334
FAK,-1.38,640091210>0.2,-1.6433333333333333
EGFR,-1.24,640091210>0.2,0.20583333333333323
SEV,1.22,640091210>0.2,0.6566666666666666
RYK,-1.17,640091210>0.2,-0.7808333333333334
JAK,-1,640091210>0.2,-1.1558333333333333
FGFR,-0.88,640091210>0.2,0.3591666666666667
ACK,-0.8,640091210>0.2,-0.5533333333333333
SRC,0.74,640091210>0.2,-0.4141666666666667
FRK,-0.7,640091210>0.2,-0.6016666666666667
RET,-0.52,640091210>0.2,-0.57
MET,0.47,640091210>0.2,-0.04083333333333334
FER,-0.46,640091210>0.2,0.2699999999999999
AXL,-0.45,640091210>0.2,-0.1458333333333333
PDGFR,-0.42,640091210>0.2,-0.15
ABL,-0.31,640091210>0.2,-0.8075
DDR,0.3,640091210>0.2,-0.5233333333333333
VEGFR,0.18,640091210>0.2,0.3983333333333333
TEC,-0.15,640091210>0.2,-0.12000000000000002
ALK,0.06,640091210>0.2,-0.3675
EPH,-0.01,640091210>0.2,0.04833333333333334
TRK,-2.23,640091210>0.3,-1.525
JAK,-1.59,640091210>0.3,-1.1558333333333333
EGFR,-1.52,640091210>0.3,0.20583333333333323
SEV,1.45,640091210>0.3,0.6566666666666666
SYK,-1.32,640091210>0.3,-0.72
FAK,-1.18,640091210>0.3,-1.6433333333333333
CSK,1.05,640091210>0.3,0.9058333333333334
RYK,-1.01,640091210>0.3,-0.7808333333333334
INSR,-0.88,640091210>0.3,-0.515
ALK,-0.87,640091210>0.3,-0.3675
FGFR,-0.73,640091210>0.3,0.3591666666666667
ACK,-0.69,640091210>0.3,-0.5533333333333333
FER,-0.64,640091210>0.3,0.2699999999999999
PDGFR,-0.6,640091210>0.3,-0.15
RET,-0.53,640091210>0.3,-0.57
ABL,-0.51,640091210>0.3,-0.8075
SRC,-0.51,640091210>0.3,-0.4141666666666667
TEC,0.47,640091210>0.3,-0.12000000000000002
EPH,-0.25,640091210>0.3,0.04833333333333334
AXL,0.22,640091210>0.3,-0.1458333333333333
MET,0.11,640091210>0.3,-0.04083333333333334
VEGFR,0.06,640091210>0.3,0.3983333333333333
FRK,-0.05,640091210>0.3,-0.6016666666666667
DDR,-0.01,640091210>0.3,-0.5233333333333333
FAK,-2.21,640091210>0.4,-1.6433333333333333
SRC,-2.21,640091210>0.4,-0.4141666666666667
TRK,-2.01,640091210>0.4,-1.525
ABL,-1.63,640091210>0.4,-0.8075
INSR,-1.38,640091210>0.4,-0.515
SYK,-1.36,640091210>0.4,-0.72
EPH,-1.32,640091210>0.4,0.04833333333333334
JAK,-1.27,640091210>0.4,-1.1558333333333333
MET,-1.12,640091210>0.4,-0.04083333333333334
TEC,0.99,640091210>0.4,-0.12000000000000002
FER,-0.8,640091210>0.4,0.2699999999999999
EGFR,-0.78,640091210>0.4,0.20583333333333323
RYK,-0.74,640091210>0.4,-0.7808333333333334
CSK,0.69,640091210>0.4,0.9058333333333334
AXL,-0.61,640091210>0.4,-0.1458333333333333
ACK,-0.53,640091210>0.4,-0.5533333333333333
SEV,-0.52,640091210>0.4,0.6566666666666666
VEGFR,-0.33,640091210>0.4,0.3983333333333333
RET,0.27,640091210>0.4,-0.57
DDR,-0.26,640091210>0.4,-0.5233333333333333
PDGFR,-0.26,640091210>0.4,-0.15
ALK,-0.24,640091210>0.4,-0.3675
FRK,0.1,640091210>0.4,-0.6016666666666667
FGFR,-0.04,640091210>0.4,0.3591666666666667
FAK,-2.72,640091213>0.15,-1.6433333333333333
